ID,Priority,Category,Task,Description,CLIPS Usage,Files,Size,Status
F01,CRITICAL,运维,错误透传规则 CRUD,"GET/POST/PUT/DELETE /api/v1/admin/error-passthrough-rules，从 DB 加载规则→CLIPS error_passthrough.clp 热更新",CLIPS: error_passthrough.clp 规则动态加载+评估,src/admin/ersub_ops_handler.erl src/clips/ersub_clips_worker.erl,M,TODO
F02,CRITICAL,运维,Dashboard 快照 V2,"GET /api/v1/admin/ops/snapshot — 单请求返回所有指标（health+throughput+errors+latency+tokens+models+accounts）合并 JSON",无,src/admin/ersub_ops_handler.erl,M,TODO
F03,CRITICAL,配置,messages_dispatch 配置 API,"GET/PUT /api/v1/admin/groups/:id/dispatch — 管理 group 级别模型映射配置，写入后自动更新 CLIPS dispatch-mapping facts",CLIPS: dispatch.clp 映射表动态更新,src/admin/ersub_admin_handler.erl priv/clips/platform_config.clp,M,TODO
F04,CRITICAL,缓存,账户 today-stats 缓存,"ETS 缓存层(30s TTL) + GET /api/v1/admin/accounts/today-stats/batch 批量端点",无,src/scheduler/ersub_account_stats_cache.erl src/admin/ersub_admin_handler.erl,L,TODO
F05,CRITICAL,网关,Idempotency 完整实现,"扩展 ersub_idempotency：状态跟踪(processing/succeeded/failed)、冲突检测(409)、UUID 格式校验、自动清理定时器",CLIPS: 可选 idempotency-policy 规则决定是否启用,src/gateway/ersub_idempotency.erl,L,TODO
F06,CRITICAL,安全,TLS 指纹管理端点,"GET/POST/PUT/DELETE /api/v1/admin/tls-profiles + 账户级绑定 API",无,src/admin/ersub_admin_handler.erl,M,TODO
F07,HIGH,账户,账户凭证轮换端点,"POST /api/v1/admin/accounts/:id/exchange-code、/refresh-tier、/batch-refresh-tier、/recover-state 等生命周期端点",无,src/admin/ersub_admin_handler.erl,L,TODO
F08,HIGH,认证,独立 OAuth Handler 拆分,"将 ersub_auth_handler 中 OAuth 逻辑拆分为 per-provider handler：email/linuxdo/wechat/oidc 各一个模块，支持平台特定流程",无,src/admin/ersub_oauth_email.erl src/admin/ersub_oauth_linuxdo.erl src/admin/ersub_oauth_wechat.erl,L,TODO
F09,HIGH,缓存,Admin 仪表盘查询缓存,"ETS 缓存层：Dashboard 查询结果缓存(30s TTL)、趋势缓存(1min TTL)、模型统计缓存",无,src/ops/ersub_dashboard_cache.erl,M,TODO
F10,HIGH,运维,数据管理 S3 备份,"GET/POST /api/v1/admin/data-management/s3-profiles CRUD + POST /api/v1/admin/data-management/backup-jobs 创建备份任务",无,src/admin/ersub_data_mgmt_handler.erl,L,TODO
F11,HIGH,调度,自定义错误过滤增强,"扩展 CLIPS error_passthrough.clp：支持优先级排序、关键词匹配模式(exact/regex/contains)、响应码映射、skip-monitoring 标记",CLIPS: error_passthrough.clp 扩展规则模板+匹配模式,priv/clips/error_passthrough.clp src/clips/ersub_clips_worker.erl,M,TODO
F12,HIGH,计费,账户使用来源过滤,"usage_logs 增加 source 字段(passive/active)，API 端点支持 ?source= 过滤参数",无,src/admin/ersub_ops_handler.erl priv/migrations/008_usage_source.sql,S,TODO
F13,HIGH,网关,用户消息队列 SSE ping,"ersub_msg_queue serialize 模式等待时发送 SSE ping 保活，RPM 感知自适应延迟计算",无,src/gateway/ersub_msg_queue.erl src/gateway/ersub_sse_ping.erl,M,TODO
F14,HIGH,运营,促销/兑换批量操作,"POST /api/v1/admin/redeem/batch — 批量创建兑换码；POST /api/v1/admin/promo/batch — 批量创建促销码",无,src/admin/ersub_admin_handler.erl,S,TODO
F15,MEDIUM,安全,CodexCLI 强制执行增强,"ersub_client_detector 增加 ForceCodexCLI 标记、UA 正则验证(codex_cli_rs/)、端点白名单bypass",CLIPS: 可选 codex-cli-policy 规则控制强制执行策略,src/gateway/ersub_client_detector.erl,S,TODO
F16,MEDIUM,运维,Channel 监控模板 CRUD,"GET/POST/PUT/DELETE /api/v1/admin/channel-monitor-templates",无,src/admin/ersub_ops_handler.erl,M,TODO
F17,MEDIUM,运维,定时测试计划 CRUD,"GET/POST/PUT/DELETE /api/v1/admin/scheduled-tests",无,src/admin/ersub_ops_handler.erl,M,TODO
F18,MEDIUM,运维,代理管理 CRUD,"GET/POST/PUT/DELETE /api/v1/admin/proxies",无,src/admin/ersub_admin_handler.erl,M,TODO
F19,MEDIUM,网关,OpenAI Compact 模式,"路由 /openai/v1/responses/compact + compact session 处理 + 模型映射",CLIPS: 可选 compact-mode-policy 规则控制启用/模型映射,src/gateway/ersub_openai_responses_handler.erl src/ersub_router.erl,M,TODO
F20,MEDIUM,网关,预热请求拦截,"检测 Warmup 关键词 → 生成 Mock 响应(New Conversation + end_turn)，不转发上游",CLIPS: warmup-detection 规则定义检测条件,src/gateway/ersub_claude_handler.erl,S,TODO
F21,MEDIUM,运维,账户临时不可调度管理端点,"POST /api/v1/admin/accounts/:id/temp-unschedule + /recover-state",无,src/admin/ersub_admin_handler.erl,S,TODO
F22,MEDIUM,网关,Idempotency 自动清理,"gen_server 定时器每小时清理过期的 ETS idempotency 缓存",无,src/gateway/ersub_idempotency.erl,S,TODO
