ID,Priority,Severity,Task,Description,Files,Size,Status
C1,P0,CRITICAL,7个gen_server加入Supervision Tree,ersub_affiliate_srv/balance_notify_srv/health_srv/metrics_srv/usage_cleanup_srv/scheduled_test_srv/channel_monitor 未注册到 ersub_sup,src/ersub_sup.erl,S,DONE
C2,P0,CRITICAL,非流式请求增加计费扣款+使用日志,所有gateway handler非流式路径转发后未调用deduct/log，需解析upstream响应提取usage并扣费记录,src/gateway/ersub_claude_handler.erl src/gateway/ersub_openai_handler.erl src/gateway/ersub_gemini_handler.erl src/gateway/ersub_antigravity_handler.erl src/gateway/ersub_openai_images_handler.erl src/gateway/ersub_openai_responses_handler.erl,M,DONE
C3,P0,CRITICAL,CLIPS Worker增加reload_rules handler,ersub_clips_worker handle_call缺少reload_rules子句，导致热更新静默失败,src/clips/ersub_clips_worker.erl,S,DONE
C4,P0,CRITICAL,密码哈希替换为bcrypt,当前SHA-256不抗暴力破解，需加erlang bcrypt依赖替换hash_password/verify_password,src/auth/ersub_auth_srv.erl rebar.config,S,DONE
H1,P1,HIGH,Alipay支付标记为不可用,create_order返回mock数据未调API，在payment_handler中检查provider可用性返回501,src/payment/ersub_alipay.erl src/payment/ersub_payment_handler.erl,S,DONE
H2,P1,HIGH,WeChat Pay标记为不可用,同H1，wechat provider标记为scaffold,src/payment/ersub_wechat.erl src/payment/ersub_payment_handler.erl,S,DONE
H3,P1,HIGH,实现定价表HTTP fetch+parse,ersub_pricing_srv fetch_and_parse返回not_implemented，需实现HTTP GET + LiteLLM JSON解析,src/billing/ersub_pricing_srv.erl,M,DONE
H4,P1,HIGH,OAuth redirect_uri从config读取,硬编码localhost:8080，改为从ersub_config_srv读取base_url拼接,src/admin/ersub_auth_handler.erl,S,DONE
H5,P1,HIGH,余额通知增加邮件发送占位,当前只logger:info，增加邮件发送接口（可先用logger:notice标记为待实现）,src/billing/ersub_balance_notify_srv.erl,S,DONE
H6,P1,HIGH,补全ersub.yaml缺失配置项,约20个代码读取的config key在YAML中缺失（moderation/payment/security/ops/backend_mode等）,config/ersub.yaml,S,DONE
M1,P2,MEDIUM,Stripe webhook签名完善,解析Stripe-Signature头的t=timestamp v1=signature格式，增加时间窗口校验防重放,src/payment/ersub_stripe.erl,M,DONE
M2,P2,MEDIUM,内容审核API错误不再静默放行,moderation_srv API失败时改为记录并返回error而非默认clean,src/moderation/ersub_moderation_srv.erl,S,DONE
M3,P2,MEDIUM,Repo层补充缺失表的CRUD,user_subscriptions/channels/redeem_codes/promo_codes增加基本CRUD函数,src/db/ersub_repo.erl,M,DONE
M4,P2,MEDIUM,计费路径调用billing_dedup,在非流式计费扣款前调用check_and_mark防重复计费,src/gateway/ersub_claude_handler.erl src/billing/ersub_billing_dedup.erl,S,DONE
M5,P2,MEDIUM,清理stub_handler和_Stub变量,删除ersub_stub_handler.erl，清理router中_Stub变量,src/gateway/ersub_stub_handler.erl src/ersub_router.erl,S,DONE
