number,title,state,labels,createdAt,closedAt,body_excerpt
2423,Windows 独立 exe 部署下，Web 页面在线更新后新版本未生效,OPEN,,2026-05-13T02:47:27Z,,```markdown ## 问题描述  在 Windows 环境下使用独立 `sub2api.exe` 方式运行 Sub2API 时，通过管理后台 Web 页面点击在线更新后，新版本没有实际生效。  页面上看起来已经完成更新流程，并提示需要重启，但重启/刷新后服务仍然是旧版本。  ## 环境信息  - 操作系统：Windows - 部署方式：独立 `sub2api.exe` - 程序路径：`D:\sub2api\sub2api.exe` - 当前本地版本：`0.1.125` - GitHub 最新 Release：`v0.1.126` - 运行端口：`8379`  ## 复现步骤  1. 在 Windows 下通过独立 `sub2api.exe` 启动 Sub2API。 2. 打开管理后台 Web 页面。 3. 点击左上角版本/更新按钮。 4. 执行在线更新。 5. 页面提示更新完成后，点击重启。 6. 再次检查当前运行版本。  ## 实际表现  更新后新版本没有生效。  本地二进制文件版本仍然是旧版本：  ```powershell .\sub2api.exe --version 
2422,希望在用户菜单栏增加图片生成功能 使用gpt-image-2,OPEN,,2026-05-13T02:44:02Z,,https://github.com/CookSleep/gpt_image_playground    这个项目功能齐全，还不错，希望可以移植到sub2api的菜单内使用
2419,多服务器集群 共用数据库时定时测试重复执行,OPEN,,2026-05-12T16:46:58Z,,"现象： 两台 Sub2API 服务器共用同一个 PostgreSQL 数据库，设置了相同的定时测试计划（如每分钟），导致同一个测试计划被两台服务器同时执行，实际测试次数翻倍。 根本原因： 两台服务器跑同一套代码，共用   scheduled_test_plans   表 代码中的 scheduler 无身份标识，不判断""当前服务器是否应该执行这个任务"" 只要时间到了，两边都会读取到   enabled=true   的计划并执行 期望行为： 多台服务器共用数据库时，同一个定时测试计划只应有一台服务器执行 建议在 scheduler 逻辑中增加服务器 IP 白名单或机器标识，只有白名单内的服务器才执行定时测试 建议修复位置： sub2api 代码中 scheduler 相关逻辑（如   scheduler_outbox   或定时任务调度处），读取   scheduled_test_plans   前加 IP/机器标识判断。"
2418,现在时间是2026年5月12日，今天部署之后claude授权，两种模式都不过，现在还能用吗？是不是已经被A家封了？,OPEN,,2026-05-12T15:14:49Z,,
2415,如何更新管理员邮箱变成自己的？,OPEN,,2026-05-12T12:21:41Z,,如何更新管理员邮箱变成自己的？
2414,账号额度使用完邮件通知,OPEN,,2026-05-12T12:18:52Z,,"<img width=""328"" height=""108"" alt=""Image"" src=""https://github.com/user-attachments/assets/83cc05ae-1cda-44f8-af80-55bd0ea43774"" /> 希望增加： 1. 账号额度使用完时邮件通知功能，默认通知当前账号，也可以配置另外知道的邮箱。 2. 额度恢复时也邮件通知。 3. 或者管理员账号 能否对 用户账号 显示当前5h,7d额度使用情况。 "
2413,Cherry Studio 调 gpt-image-2，OpenAI 403 会导致账号被临时标记为不可调度,OPEN,,2026-05-12T11:13:31Z,,"## Description  你好，我在使用 sub2api 作为上游代理时遇到了一个问题。  当我通过 Cherry Studio 调用 gpt-image-2 模型生成图片时，如果某个上游 OpenAI 账号返回了 403 Access forbidden，该账号会被 sub2api 临时标记为不可调度，日志中会出现类似：  ```bash OpenAI 403 temporary cooldown (1/3): Access forbidden (403): <html>\n <head>\n <meta name=""viewport"" content=""width=device-width, initial-scale=1"" />\n <style global>body{font-family:Arial,Helvetica,sans-serif}.container{align-items:center;display:flex;flex-direction:column;gap:2rem;height:100%;justify-content:center;width:"
2411,粘性会话调度不符合预期,OPEN,,2026-05-12T10:10:45Z,,我用的cursor（Version: 3.1.14，VSCode Version: 1.105.1）的codex插件(Version 26.506.31421)，sub2api版本是v0.1.125。  我有两个号，一个号用了一段时间额度剩余较少，一个号是新号额度较多。所以我把新号的优先级保持1不变，老号的优先级调为2，希望优先调度新号。在新建的session是都调度了新号，符合预期。  但当我打开昨天晚上cursor的codex插件的一个老号的历史会话时，输入了新的指令，依旧调度到了新号。而我的预期的是，历史会话按照粘性会话调度优先的原则，调度到原老号上。  反代用的Caddy 2 ，让codex实测它说 Caddy 2 反代不会和Nginx一样丢弃session_id，不需要额外配underscores_in_headers on。   另外顺便问一下，这种跨账号的历史上下文，是仅未命中缓存而浪费额度，还是也会增加封号风险呢？
2410,[Ops] 运维监控缺少统一请求归因信息，异常日志/SLA明细/系统日志无法稳定定位用户、API Key、邮箱和真实 IP,OPEN,,2026-05-12T09:59:15Z,,### 问题描述  当前运维监控里的异常日志、SLA 明细、系统日志虽然能看到很多错误，例如 status、path、request_id、client_request_id、错误信息等，但很多场景下缺少最关键的请求归因信息，导致管理员无法判断“到底是谁在请求”。  缺失信息通常包括：  - user_id - 用户邮箱 / username - api_key_id - API Key 名称 - 脱敏后的 API Key 标识 - group_id / group_name - 真实 client_ip - 对于上游错误：实际使用的上游账号 account_id / account_name  结果是：监控里能看到大量异常，但无法定位用户，无法联系客户沟通，也无法快速判断是客户侧配置问题、额度问题、余额问题、还是平台/上游问题。  这不是单一错误码问题，而是运维监控整体缺少统一的“请求主体 / 责任主体 / 归因信息”。  ---  ### 典型现象  例如系统日志里能看到类似：  ```text http request completed status=403 latency_m
2409,openai status code 400 message Instructions are required 问题讨论,OPEN,,2026-05-12T09:37:31Z,,"现状说明： 我的账号管理里面就一个账号，在界面点击测试正常  使用/v1/chat/completions请求报错 400 Instructions are required   使用/v1/messages请求正常  在sub2api中配置渠道监控，报错400  Instructions are required   账号未配置任何多余配置，只填写了url，key，model  <img width=""1112"" height=""482"" alt=""Image"" src=""https://github.com/user-attachments/assets/78f81411-9c82-4961-b254-4b2b79b7dcc3"" />"
2407,"Codex使用Image2的apikey报错：unexpected status 502 Bad Gateway: Upstream service temporarily unavailable, url:",OPEN,,2026-05-12T08:54:23Z,,"Image2上游也是sub2api 在账号测试连接功能中能正常生图，但是在codex里面生图报错错误 <img width=""2880"" height=""1558"" alt=""Image"" src=""https://github.com/user-attachments/assets/8e95b190-cf3d-459a-8c72-8f93dca17d04"" />  <img width=""1696"" height=""888"" alt=""Image"" src=""https://github.com/user-attachments/assets/63585f95-e808-40b5-a52e-dfd2bd662df2"" />"
2406,建议：用户限制ip访问导致的ACCESS_DENIED不应被算作会导致sla减少的错误,OPEN,,2026-05-12T08:41:38Z,,"用户限制ip访问导致的ACCESS_DENIED不应被算作会导致sla减少的错误  <img width=""1555"" height=""735"" alt=""Image"" src=""https://github.com/user-attachments/assets/18db965b-6abb-4a1c-aea5-24015ae6510a"" />  <img width=""286"" height=""169"" alt=""Image"" src=""https://github.com/user-attachments/assets/781da834-5776-4dc3-8c63-6cb8a6a629a8"" />"
2405,GPT5.5支持更大的上下文限制么？,OPEN,,2026-05-12T08:21:22Z,,GPT5.5支持更大的上下文限制么？
2404,"gemini 401报错,Google One Pro Oauth授权，All available accounts exhausted",OPEN,,2026-05-12T08:20:04Z,,"<img width=""1257"" height=""593"" alt=""Image"" src=""https://github.com/user-attachments/assets/96ebd493-a5c3-4118-ab70-cf66a61aa8c1"" />  <img width=""864"" height=""301"" alt=""Image"" src=""https://github.com/user-attachments/assets/9a8f70ae-94a6-496f-b7d5-87388aca4c7a"" />  版本v0.1.126 Dokcer部署  {   ""error"": {     ""message"": ""All available accounts exhausted"",     ""type"": ""server_error""   } }"
2403,Selected model is at capacity. Please try a different model.,OPEN,,2026-05-12T08:16:02Z,,This question has been bothering me for a long time.
2400,codex-auto-review 计费异常,OPEN,,2026-05-12T07:23:46Z,,"开启自动透传以后 codex-auto-review 可以正确透传给上游，但是计费直接按照 gpt-5.5 计费过高了  <img width=""2148"" height=""466"" alt=""Image"" src=""https://github.com/user-attachments/assets/78a34b40-4e9e-4a5d-9d46-99a81a4177e9"" />"
2398,0.1.126 这次更新导致后台系统设置在dark模式下顶部菜单栏还是白色背景,OPEN,,2026-05-12T07:12:28Z,,确实是 0.1.126 这次“系统设置页标签导航优化”引入的前端样式回归。  具体原因 0.1.126 把系统设置页顶部标签栏从旧实现改成了新的 settings-tabs-shell / settings-tab 这一套样式。  源码里本来是想这样写深色覆盖：  • frontend/src/views/admin/SettingsView.vue   • .settings-tabs-shell { ... bg-white/90 ... }   • :global(.dark) .settings-tabs-shell { background: rgb(15 23 42 / 0.86); ... }  但我刚查了线上实际打包后的 CSS chunk：  • http://127.0.0.1:8080/assets/SettingsView-DlYf6CI6.css  里面变成了这种结果：  • 正常浅色规则还在：   • .settings-tabs-shell[data-v-ab2484fe]{ ... background-color:#ffffffe6 ... } • 本
2397,Windows standalone .exe online update does not take effect after Web UI update,OPEN,,2026-05-12T06:51:08Z,,"下面这版可以直接填到 GitHub 的 **Create new issue** 里。  **Title**  Windows standalone `.exe` online update does not take effect after Web UI update  **Body**  ```markdown ## Bug Description  When running Sub2API as a standalone Windows binary, clicking the Web UI update button does not make the new version take effect.  The UI appears to complete the update flow and then asks for a restart, but after restart/reload the running service still uses the old version.  ## Environment  - OS: Windows - Deployment "
2392,有没有支持 windsurf 的计划,OPEN,,2026-05-12T05:48:06Z,,windsurf 比较稳，有没有支持的计划
2389,想问下，我配置支付宝生成支付的二维码，为什么扫不了？ 要放大很大好像才行？,OPEN,,2026-05-12T03:04:20Z,,
