ID,Phase,Category,Task,Description,Design Ref,Files,Dependencies,Priority,Size,Status
G01,1-网关,网关,GET /v1/models 模型列表端点,从 pricing ETS 读取模型列表，返回 OpenAI 兼容格式，支持 per-group 过滤,§1.1,src/gateway/ersub_models_handler.erl src/ersub_router.erl,,P0,M,DONE
G02,1-网关,网关,POST /v1/images/edits 图片编辑,转发到 OpenAI /v1/images/edits，支持 multipart/form-data,§1.2,src/gateway/ersub_openai_images_handler.erl,,P2,M,DONE
G03,1-网关,网关,Idempotency-Key 中间件,ETS 缓存请求结果，相同 Key 直接返回缓存，TTL 24h,§1.3,src/gateway/ersub_idempotency.erl,,P1,M,DONE
G04,1-网关,网关,图片并发限制器,独立于用户并发的全局图片生成并发槽控制,§1.4,src/gateway/ersub_image_limiter.erl,,P2,S,DONE
G05,1-网关,网关,SSE billing header 注入,流式响应中注入 CCH 计费 header（token 用量）,§1.3,src/gateway/ersub_stream_fsm.erl,,P2,S,DONE
A01,2-账户,账户,AWS Bedrock SigV4 签名,实现 AWS Signature V4 签名模块，支持 bedrock 账户类型,§2.1,src/auth/ersub_aws_signer.erl src/scheduler/ersub_account_srv.erl,,P1,L,DONE
A02,2-账户,账户,Google Vertex AI ServiceAccount,实现 GCP Service Account JWT→Access Token 认证,§2.2,src/auth/ersub_gcp_auth.erl,,P2,L,DONE
A03,2-账户,调度,Account pool_mode 同账户重试,scheduler failover 中支持同账户内重试 401/403/429,§2.3,src/scheduler/ersub_scheduler_srv.erl,,P1,M,DONE
A04,2-账户,安全,Privacy 模式,向 OpenAI 注入 privacy header，Antigravity training opt-out,§2.4,src/gateway/ersub_request_transform.erl,,P2,S,DONE
A05,2-账户,安全,Session ID 伪装,Anthropic 请求生成随机 session-id，防关联追踪,§2.4,src/gateway/ersub_request_transform.erl,,P2,S,DONE
A06,2-账户,安全,TLS 指纹绑定到账户,从 tls_fingerprint_profiles 读取 profile 并应用到 gun 连接,§2.4,src/upstream/ersub_upstream_pool.erl,,P3,M,DONE
B01,3-计费,计费,图片分级定价 1K/2K/4K/HD,解析图片 size 按 group image_price_* 分档计费,§3.1,src/billing/ersub_billing_helper.erl,,P1,M,DONE
B02,3-计费,计费,长上下文溢价,total_input > threshold 时 input×2 output×1.5,§3.2,src/billing/ersub_billing_helper.erl,,P1,S,DONE
B03,3-计费,计费,服务等级 service_tier 接入,handler 提取 service_tier 传入 billing，乘以 priority/flex 乘数,§3.3,src/gateway/ersub_claude_handler.erl src/billing/ersub_billing_helper.erl,,P1,M,DONE
B04,3-计费,计费,Cache 分级定价 5m vs 1h,区分 cache_5m / cache_1h tokens 使用不同价格,§3.4,src/billing/ersub_billing_helper.erl,,P2,S,DONE
B05,3-计费,计费,计费 Circuit Breaker,连续 N 次 DB sync 失败→open→降级放行→half-open→closed,§3.5,src/billing/ersub_billing_srv.erl,,P1,M,DONE
S01,4-调度,调度,PreviousResponseID 粘滞,scheduler Layer 0：从 body 提取 previous_response_id 绑定账户,§4.1,src/scheduler/ersub_scheduler_srv.erl,,P1,M,DONE
S02,4-调度,调度,调度器运行时指标,counters: select_total/sticky_hit/lb_select/account_switch + get_metrics API,§4.2,src/scheduler/ersub_scheduler_srv.erl,,P2,M,DONE
S03,4-调度,调度,调度器 DB 开关,settings 表读取 advanced_scheduler_enabled，5s ETS 缓存,§4.3,src/scheduler/ersub_scheduler_srv.erl,,P2,S,DONE
S04,4-调度,调度,Load skew 公平性跟踪,每次选择后计算 load 分布标准差记入 metrics,§4.4,src/scheduler/ersub_scheduler_srv.erl,S02,P3,S,DONE
M01,5-审核,审核,内容脱敏 Redaction,审核后将 flagged 部分替换为 [REDACTED],§5.1,src/moderation/ersub_moderation_srv.erl,,P2,M,DONE
M02,5-审核,审核,审核邮件通知,新增 ersub_email 模块（gen_smtp），审核命中发邮件,§5.2,src/ops/ersub_email.erl src/moderation/ersub_moderation_srv.erl,,P2,L,DONE
M03,5-审核,审核,Moderation API Key 轮换,支持多 API Key 列表，rate_limit 自动切换,§5.3,src/moderation/ersub_moderation_srv.erl,,P2,M,DONE
M04,5-审核,审核,审核采样率,按 moderation_sample_rate 概率采样降低 API 调用,§5.4,src/moderation/ersub_moderation_srv.erl,,P1,S,DONE
M05,5-审核,审核,审核 Worker 池 + 异步队列,observe 模式改为 poolboy worker 池异步处理,§5.5,src/moderation/ersub_moderation_srv.erl,,P2,L,DONE
M06,5-审核,审核,13 类风险独立阈值,config 支持 per-category threshold map,§5.6,src/moderation/ersub_moderation_srv.erl config/ersub.yaml,,P2,M,DONE
M07,5-审核,审核,多协议内容提取,按 Claude/OpenAI/Gemini/Images 格式分别提取审核文本,§5.7,src/moderation/ersub_moderation_srv.erl,,P2,M,DONE
P01,6-支付,支付,支付 provider 可用性检查,payment_handler 检查 is_available 返回明确错误,§6,src/payment/ersub_payment_handler.erl,,P1,S,DONE
P02,6-支付,支付,退款状态机,pending→refund_requested→refunding→refunded 流程,§6,src/payment/ersub_payment_srv.erl,,P2,M,DONE
P03,6-支付,支付,支付恢复 resume_token,生成签名 resume token 支持中断支付续接,§6,src/payment/ersub_payment_srv.erl,,P2,M,DONE
O01,7-运维,运维,实时 WebSocket 仪表板,cowboy_websocket 每秒推送 QPS/错误率/连接数,§7.1,src/ops/ersub_ops_ws_handler.erl src/ersub_router.erl,,P1,L,DONE
O02,7-运维,运维,多粒度窗口统计 5m/1h/24h,metrics_srv 扩展为三个聚合粒度,§7.2,src/ops/ersub_metrics_srv.erl,,P2,M,DONE
O03,7-运维,运维,数据导出 CSV,GET /api/admin/export/usage 和 /users 返回 CSV,§7.3,src/admin/ersub_admin_handler.erl,,P2,M,DONE
O04,7-运维,运维,Advisory Lock 聚合防重复,metrics 聚合前获取 PG advisory lock,§7.4,src/ops/ersub_metrics_srv.erl,,P2,S,DONE
