ID,Priority,Category,Task,Description,Files,CLIPS Design,Size,Status
CL01,P0,平台配置,平台 Base URL → CLIPS facts,4 个 handler 中的硬编码 Base URL (Claude/OpenAI/Gemini/Antigravity) 改为 CLIPS platform-config facts,src/gateway/ersub_*_handler.erl,(deftemplate platform-config (slot platform) (slot base-url) (slot api-version) (slot auth-header)),M,DONE
CL02,P0,调度,可重试错误码 → CLIPS rules,scheduler 中硬编码的 429/502/503/529 改为 CLIPS retriable-code facts,src/scheduler/ersub_scheduler_srv.erl,(deftemplate retriable-code (slot code)) + (defrule check-retriable),S,DONE
CL03,P0,调度,3 层选择顺序 → CLIPS rules,scheduler 的 Layer 0→1→2 选择顺序改为 CLIPS selection-layer facts 可动态调整,src/scheduler/ersub_scheduler_srv.erl,(deftemplate selection-layer (slot priority) (slot type) (slot enabled)),L,TODO
CL04,P0,调度,状态码→事件映射 → CLIPS rules,account_srv 中 status_code_to_event 硬编码改为 CLIPS error-code-mapping facts,src/scheduler/ersub_account_srv.erl,(deftemplate error-code-mapping (slot code) (slot event-type)),S,DONE
CL05,P0,计费,熔断器阈值 → CLIPS rules,billing_srv 中硬编码的 5 次失败阈值改为 CLIPS circuit-breaker-config facts,src/billing/ersub_billing_srv.erl,(deftemplate circuit-breaker-config (slot failure-threshold) (slot half-open-timeout)),S,DONE
CL06,P0,计费,嵌入定价表 → CLIPS facts,pricing_srv 中硬编码的 6 个模型定价改为 CLIPS model-pricing facts（已有模板，需将 fallback 数据移入）,src/billing/ersub_pricing_srv.erl,已有 model-pricing deftemplate，需新增 embedded-pricing.clp 文件,M,DONE
CL07,P0,安全,SSRF 私有 IP 列表 → CLIPS facts,url_validator 中硬编码的 10.0.0.0/8 等私有范围改为 CLIPS private-ip-range facts,src/security/ersub_url_validator.erl,(deftemplate private-ip-range (slot network) (slot prefix-len)),M,DONE
CL08,P0,审核,内容提取规则 → CLIPS facts,moderation_srv 中按平台硬编码的内容提取路径改为 CLIPS content-extraction-rule facts,src/moderation/ersub_moderation_srv.erl,(deftemplate content-extraction-rule (slot platform) (slot path-spec)),M,DONE
CL09,P1,安全,CSP 策略 → CLIPS facts,security_middleware 中硬编码的 CSP header 改为 CLIPS csp-directive facts,src/security/ersub_security_middleware.erl,(deftemplate csp-directive (slot name) (slot value)),M,TODO
CL10,P1,安全,CORS 头 → CLIPS facts,security_middleware 中硬编码的 CORS allowed-headers 改为 CLIPS cors-config facts,src/security/ersub_security_middleware.erl,(deftemplate cors-config (slot allowed-headers) (slot allowed-methods)),S,TODO
CL11,P1,网关,隐私头 + Session ID → CLIPS rules,request_transform 中按平台硬编码的隐私头和 session ID 逻辑改为 CLIPS privacy-rule facts,src/gateway/ersub_request_transform.erl,(deftemplate privacy-rule (slot platform) (slot header-name) (slot header-value)),M,DONE
CL12,P1,认证,OAuth 端点 → CLIPS facts,token_refresh_srv 中硬编码的 Claude/OpenAI/Gemini token endpoint 改为 CLIPS oauth-endpoint facts,src/auth/ersub_token_refresh_srv.erl,(deftemplate oauth-endpoint (slot platform) (slot token-url) (slot refresh-scope)),M,DONE
CL13,P1,模型,模型族映射完全 CLIPS 化,request_transform 中 map_model_family 硬编码改为全部使用 CLIPS dispatch-mapping facts,src/gateway/ersub_request_transform.erl,已有 dispatch.clp 但 fallback 硬编码，需移除 Erlang fallback,M,TODO
CL14,P1,调度,EWMA 参数 + Cooldown → CLIPS facts,account_srv 中硬编码的 EWMA_ALPHA=0.2、RATE_LIMIT_COOLDOWN_MS=60000 等改为 CLIPS account-config facts,src/scheduler/ersub_account_srv.erl,(deftemplate account-config (slot ewma-alpha) (slot rate-limit-cooldown-ms) (slot overload-cooldown-ms)),M,DONE
CL15,P1,网关,SSE Ping 格式 → CLIPS facts,sse_ping 中硬编码的 ping 格式和退避参数改为 CLIPS sse-config facts（per-platform 可配）,src/gateway/ersub_sse_ping.erl,(deftemplate sse-ping-config (slot platform) (slot format) (slot base-interval) (slot max-interval)),S,DONE
CL16,P2,审核,自动封号阈值 → CLIPS facts,moderation_srv 中 DEFAULT_BAN_THRESHOLD=5 和 WINDOW=86400 改为 CLIPS moderation-ban-config,src/moderation/ersub_moderation_srv.erl,(deftemplate ban-config (slot threshold) (slot window-seconds)),S,DONE
CL17,P2,认证,PBKDF2 迭代次数 → CLIPS facts,auth_srv 中硬编码的 100000 迭代改为 CLIPS password-hash-config facts,src/auth/ersub_auth_srv.erl,(deftemplate password-config (slot algorithm) (slot iterations) (slot key-length)),S,TODO
CL18,P2,网关,请求体大小限制 → CLIPS facts,多个 handler 中硬编码 268435456 bytes 改为 CLIPS request-limit-config facts,src/gateway/ersub_*_handler.erl,(deftemplate request-config (slot max-body-size) (slot stream-timeout-ms)),S,DONE
CL19,P2,网关,预检余额金额 → CLIPS facts,handler 中硬编码 0.001 USD 预检金额改为 CLIPS billing-precheck-config,src/gateway/ersub_*_handler.erl,(deftemplate billing-precheck (slot min-balance)),S,DONE
CL20,P2,计费,计费去重 TTL → CLIPS facts,billing_dedup 中硬编码 7 天 TTL 改为 CLIPS dedup-config facts,src/billing/ersub_billing_dedup.erl,(deftemplate dedup-config (slot ttl-days)),S,DONE
